ObservationDate,Shorthand,From,To,Price
09/01/2009,Q4_13,01/10/2013,31/12/2013,0.654
09/01/2009,Q1_14,01/01/2014,31/03/2014,0.732
09/01/2009,Q2_14,01/04/2014,30/06/2014,0.6015
12/01/2009,Q2_09,01/04/2009,30/06/2009,0.451
12/01/2009,Q3_09,01/07/2009,30/09/2009,0.43
12/01/2009,Q4_09,01/10/2009,31/12/2009,0.551
12/01/2009,Q1_10,01/01/2010,31/03/2010,0.619
12/01/2009,Q2_10,01/04/2010,30/06/2010,0.509
12/01/2009,Q3_10,01/07/2010,30/09/2010,0.486
12/01/2009,Q4_10,01/10/2010,31/12/2010,0.5905
12/01/2009,Q1_11,01/01/2011,31/03/2011,0.6635
12/01/2009,Q2_11,01/04/2011,30/06/2011,0.545
12/01/2009,Q3_11,01/07/2011,30/09/2011,0.522
12/01/2009,Q4_11,01/10/2011,31/12/2011,0.6245
12/01/2009,Q1_12,01/01/2012,31/03/2012,0.7005
12/01/2009,Q2_12,01/04/2012,30/06/2012,0.573
12/01/2009,Q3_12,01/07/2012,30/09/2012,0.55
12/01/2009,Q4_12,01/10/2012,31/12/2012,0.639
12/01/2009,Q1_13,01/01/2013,31/03/2013,0.717
12/01/2009,Q2_13,01/04/2013,30/06/2013,0.586
12/01/2009,Q3_13,01/07/2013,30/09/2013,0.563
12/01/2009,Q4_13,01/10/2013,31/12/2013,0.6455
12/01/2009,Q1_14,01/01/2014,31/03/2014,0.7235
12/01/2009,Q2_14,01/04/2014,30/06/2014,0.5935
13/01/2009,Q2_09,01/04/2009,30/06/2009,0.4655
13/01/2009,Q3_09,01/07/2009,30/09/2009,0.4445
13/01/2009,Q4_09,01/10/2009,31/12/2009,0.566
13/01/2009,Q1_10,01/01/2010,31/03/2010,0.634
13/01/2009,Q2_10,01/04/2010,30/06/2010,0.519
13/01/2009,Q3_10,01/07/2010,30/09/2010,0.496
13/01/2009,Q4_10,01/10/2010,31/12/2010,0.5985
13/01/2009,Q1_11,01/01/2011,31/03/2011,0.6715
13/01/2009,Q2_11,01/04/2011,30/06/2011,0.5515
13/01/2009,Q3_11,01/07/2011,30/09/2011,0.5285
13/01/2009,Q4_11,01/10/2011,31/12/2011,0.6325
13/01/2009,Q1_12,01/01/2012,31/03/2012,0.7085
13/01/2009,Q2_12,01/04/2012,30/06/2012,0.58
13/01/2009,Q3_12,01/07/2012,30/09/2012,0.557
13/01/2009,Q4_12,01/10/2012,31/12/2012,0.647
13/01/2009,Q1_13,01/01/2013,31/03/2013,0.725
13/01/2009,Q2_13,01/04/2013,30/06/2013,0.5925
